CO,O3,SO2,HCHO,NO2,CO_N,NO2_N,SO2_N,O3_N,AQI,Category,Hotspot
0.0405205633311357,0.1115358719775726,0.0001995307387828416,0.00018982918186335925,4.888803084350088e-05,0.7084433842538831,0.21204816741589771,0.09377638098237953,0.6932228459819344,216.0,Poor,Normal
0.0365196257429362,0.1090787295255277,0.00015714181958506149,0.00017442644750573463,2.55368967142604e-05,0.6384927830737,0.11076437435335663,0.07385424036198826,0.67795110198255,189.0,Moderate,Normal
0.0430676881278033,0.1131223627962078,0.0001890962024453875,0.00015042256280941953,1.6373328490485908e-05,0.7529761736013999,0.07101808440639205,0.08887230925426079,0.7030832761818223,202.0,Poor,Normal
0.0433357683105964,0.1090513739803258,-1.1282200624581428e-05,0.0001883381380060474,1.592608450888719e-05,0.7576631674715816,0.0690781971773607,-0.005302460916770634,0.6777810805485305,189.0,Moderate,Normal
0.049744203359614,0.1184501188949857,0.0003895242621893426,0.00013645955996010735,7.66021588389243e-05,0.8697053761841321,0.33225611916939746,0.1830704172989775,0.7361965892353579,269.0,Poor,Normal
0.0364956065930018,0.1108713410979476,2.690865444462805e-05,8.744635502446866e-05,9.72154019009839e-06,0.6380728430119745,0.04216645150567373,0.012646654076036714,0.689092623306048,173.0,Moderate,Normal
0.0148619243544059,0.1500780325189032,0.0001869950479370691,8.718407210038282e-05,-1.032003055139132e-06,0.2598392302722565,-0.004476235856387579,0.08788479892438948,0.9327718426143924,157.0,Moderate,Normal
0.0397855799810959,0.1089821890642647,6.726765710041194e-05,7.713200707559714e-05,7.917933932419534e-06,0.69559326448587,0.03434344462480875,0.03161476511599403,0.6773510792981655,180.0,Moderate,Normal
0.0406315511835329,0.1114074809638689,0.0001892456935124892,0.00021994236562139656,1.7022251656998558e-05,0.7103838461650561,0.0738327399750162,0.0889425677585269,0.6924248642892277,195.0,Moderate,Normal
0.0415080494157794,0.1123063447031231,8.251186576590405e-05,0.0001448260229446214,1.5071686412254027e-05,0.7257081487634882,0.0653723095089729,0.03877930892668938,0.6980115232575733,192.0,Moderate,Normal
0.0149411183680083,0.1404586295407209,0.0002829459171204058,3.425885320018163e-05,3.375642945579576e-06,0.26122382294315905,0.014641598119424143,0.13298023293628825,0.8729848898524728,157.0,Moderate,Normal
